year,brand,teams,champions,top4,top8,top16,avg_final_position,median_final_position,teams_with_position,total_teams,total_champions,total_top4,total_top8,total_top16,share_teams,share_champions,share_top4,share_top8,share_top16
2014,marathon sports,1,0,0,0,0,17.0,17.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2014,nike,10,0,2,3,5,16.2,16.5,10,32,1,4,8,16,0.3125,0.0,0.5,0.375,0.3125
2014,puma,7,0,0,0,3,18.857142857142858,21.0,7,32,1,4,8,16,0.21875,0.0,0.0,0.0,0.1875
2014,uhlsport,1,0,0,0,0,28.0,28.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2014,,1,0,0,0,1,14.0,14.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0625
2018,adidas,12,0,1,3,8,14.833333333333334,13.5,12,32,1,4,8,16,0.375,0.0,0.25,0.375,0.5
2018,erreà,1,0,0,0,0,28.0,28.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2018,hummel,1,0,0,0,1,11.0,11.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0625
2018,new balance,2,0,0,0,0,30.5,30.5,2,32,1,4,8,16,0.0625,0.0,0.0,0.0,0.0
2018,nike,10,1,3,4,5,14.7,16.0,10,32,1,4,8,16,0.3125,1.0,0.75,0.5,0.3125
2018,puma,4,0,0,1,2,14.75,15.5,4,32,1,4,8,16,0.125,0.0,0.0,0.125,0.125
2018,uhlsport,1,0,0,0,0,24.0,24.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2018,umbro,1,0,0,0,0,20.0,20.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2022,adidas,7,1,1,1,3,16.428571428571427,17.0,7,32,1,4,8,16,0.21875,1.0,0.25,0.125,0.1875
2022,hummel,1,0,0,0,0,28.0,28.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2022,kappa,1,0,0,0,0,21.0,21.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2022,majid,1,0,0,0,0,26.0,26.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2022,marathon,1,0,0,0,0,18.0,18.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2022,new balance,1,0,0,0,0,27.0,27.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2022,nike,13,0,2,6,10,13.461538461538462,11.0,13,32,1,4,8,16,0.40625,0.0,0.5,0.75,0.625
2022,one all sports,1,0,0,0,0,19.0,19.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2022,puma,6,0,1,1,3,16.5,16.0,6,32,1,4,8,16,0.1875,0.0,0.25,0.125,0.1875
